gradeId,artist,title,hasChords,hasTabs,url,youtubeViews,youtubeDuration,originalArtist
4,AC/DC,Rock And Roll Ain't Noise Pollution,yes,True,https://justinguitar.com/songs/ac-dc-rock-and-roll-ain-t-noise-pollution-chords-tabs-guitar-lesson-rf-005,419204,07:22,AC/DC
4,AC/DC,Back In Black,yes,True,https://justinguitar.com/songs/ac-dc-back-in-black-chords-tabs-guitar-lesson-sb-327,547772,16:47,AC/DC
4,AC/DC,You Shook Me All Night Long [2/3],yes,True,https://justinguitar.com/songs/ac-dc-you-shook-me-all-night-long-2-3-chords-tabs-guitar-lesson-st-3192,338631,05:27,AC/DC
4,AC/DC,The Jack,yes,True,https://justinguitar.com/songs/ac-dc-the-jack-chords-tabs-guitar-lesson-st-336,225801,10:20,AC/DC
6,AC/DC,For Those About To Rock,yes,True,https://justinguitar.com/songs/ac-dc-for-those-about-to-rock-chords-tabs-guitar-lesson-st-420,127114,26:16,AC/DC
6,AC/DC,Baby Please Don't Go,yes,True,https://justinguitar.com/songs/ac-dc-baby-please-don-t-go-chords-tabs-guitar-lesson-rf-016,279501,07:47,AC/DC
3,AC/DC,Long Way To the Top,yes,True,https://justinguitar.com/songs/ac-dc-long-way-to-the-top-chords-tabs-guitar-lesson-bs-922,635978,16:39,AC/DC
4,AC/DC,You Shook Me All Night Long [1/3],yes,True,https://justinguitar.com/songs/ac-dc-you-shook-me-all-night-long-1-3-chords-tabs-guitar-lesson-st-319,1442349,07:19,AC/DC
5,AC/DC,Ride On,yes,True,https://justinguitar.com/songs/ac-dc-ride-on-chords-tabs-guitar-lesson-st-418,111850,13:45,AC/DC
3,AC/DC,Highway To Hell,yes,True,https://justinguitar.com/songs/ac-dc-highway-to-hell-chords-tabs-guitar-lesson-sb-322,1777148,15:42,AC/DC
5,AC/DC,Riff Raff,yes,True,https://justinguitar.com/songs/ac-dc-riff-raff-chords-tabs-guitar-lesson-st-333,255869,15:39,AC/DC
4,AC/DC,Hells Bells,yes,True,https://justinguitar.com/songs/ac-dc-hells-bells-chords-tabs-guitar-lesson-sb-313,861771,13:47,AC/DC
4,AC/DC,You Shook Me All Night Long [3/3],yes,True,https://justinguitar.com/songs/ac-dc-you-shook-me-all-night-long-3-3-chords-tabs-guitar-lesson-st-3193,367035,09:34,AC/DC
3,AC/DC,Dirty Deeds Done Dirt Cheap,yes,True,https://justinguitar.com/songs/ac-dc-dirty-deeds-done-dirt-cheap-chords-tabs-guitar-lesson-st-419,62396,14:24,AC/DC
5,AC/DC,Thunderstruck,yes,True,https://justinguitar.com/songs/ac-dc-thunderstruck-chords-tabs-guitar-lesson-sb-509,553507,16:48,AC/DC
4,AC/DC,Touch Too Much,yes,True,https://justinguitar.com/songs/ac-dc-touch-too-much-chords-tabs-guitar-lesson-st-423,125015,22:55,AC/DC
5,AC/DC,Whole Lotta Rosie,yes,True,https://justinguitar.com/songs/ac-dc-whole-lotta-rosie-chords-tabs-guitar-lesson-st-335,375999,10:56,AC/DC
3,Amy Winehouse / Mark Ronson,Valerie,yes,False,https://justinguitar.com/songs/amy-winehouse-mark-ronson-valerie-chords-tabs-guitar-lesson-bs-823,183502,11:49,Amy Winehouse / Mark Ronson
5,John Lennon & Yoko Ono,Happy Xmas (War Is Over),yes,True,https://justinguitar.com/songs/john-lennon-yoko-ono-happy-xmas-war-is-over-chords-tabs-guitar-lesson-st-108,545413,10:28,John Lennon & Yoko Ono
2,Girl in Red,we fell in love in october,yes,True,https://justinguitar.com/songs/girl-in-red-we-fell-in-love-in-october-chords-tabs-guitar-lesson-sg-073,22398,09:18,Girl in Red
2,Oasis,Champagne Supernova,yes,False,https://justinguitar.com/songs/oasis-champagne-supernova-chords-tabs-guitar-lesson-sg-086,52737,11:17,Oasis
1,Oasis,Songbird,yes,False,https://justinguitar.com/songs/oasis-songbird-chords-tabs-guitar-lesson-bs-320,193626,08:10,Oasis
2,Oasis,Live Forever,yes,True,https://justinguitar.com/songs/oasis-live-forever-chords-tabs-guitar-lesson-bs-409,559923,08:51,Oasis
3,Oasis,Wonderwall,yes,True,https://justinguitar.com/songs/oasis-wonderwall-chords-tabs-guitar-lesson-bs-805,1671145,19:20,Oasis
3,Oasis,Don't Look Back In Anger,yes,True,https://justinguitar.com/songs/oasis-don-t-look-back-in-anger-chords-tabs-guitar-lesson-sb-312,838142,20:48,Oasis
1,The Beach Boys,Surfin USA,yes,True,https://justinguitar.com/songs/the-beach-boys-surfin-usa-chords-tabs-guitar-lesson-sg-076,94371,14:10,The Beach Boys
3,Lenny Kravitz,Fly Away,yes,True,https://justinguitar.com/songs/lenny-kravitz-fly-away-chords-tabs-guitar-lesson-bs-721,184510,14:09,Lenny Kravitz
4,Lenny Kravitz,Always On The Run,yes,True,https://justinguitar.com/songs/lenny-kravitz-always-on-the-run-chords-tabs-guitar-lesson-rf-006,272262,05:02,Lenny Kravitz
2,Lenny Kravitz,I Belong To You,yes,False,https://justinguitar.com/songs/lenny-kravitz-i-belong-to-you-chords-tabs-guitar-lesson-sg-026,40858,05:57,Lenny Kravitz
3,James Bay,Hold Back The River,yes,True,https://justinguitar.com/songs/james-bay-hold-back-the-river-chords-tabs-guitar-lesson-bs-024,272422,11:46,James Bay
5,Joni Mitchell,Coyote,yes,True,https://justinguitar.com/songs/joni-mitchell-coyote-chords-tabs-guitar-lesson-sg-071,23102,17:36,Joni Mitchell
5,John Mayer,Born And Raised,yes,True,https://justinguitar.com/songs/john-mayer-born-and-raised-chords-tabs-guitar-lesson-sg-007,25856,26:29,John Mayer
5,John Mayer,Who Says,yes,True,https://justinguitar.com/songs/john-mayer-who-says-chords-tabs-guitar-lesson-sg-092,42099,28:45,John Mayer
6,John Mayer,Something Like Olivia,yes,False,https://justinguitar.com/songs/john-mayer-something-like-olivia-chords-tabs-guitar-lesson-st-412,315718,15:14,John Mayer
6,John Mayer,Neon,yes,True,https://justinguitar.com/songs/john-mayer-neon-chords-tabs-guitar-lesson-st-328,989208,23:59,John Mayer
6,John Mayer,Vultures,yes,True,https://justinguitar.com/songs/john-mayer-vultures-chords-tabs-guitar-lesson-sg-037,41764,14:32,John Mayer
6,John Mayer,Daughters,yes,True,https://justinguitar.com/songs/john-mayer-daughters-chords-tabs-guitar-lesson-st-414,192612,20:20,John Mayer
6,John Mayer,Stop This Train [2/2],yes,False,https://justinguitar.com/songs/john-mayer-stop-this-train-2-2-chords-tabs-guitar-lesson-st-8142,64753,23:20,John Mayer
6,John Mayer,Slow Dancing In A Burning Room,yes,True,https://justinguitar.com/songs/john-mayer-slow-dancing-in-a-burning-room-chords-tabs-guitar-lesson-st-411,684731,22:26,John Mayer
6,John Mayer,Stop This Train [1/2],yes,True,https://justinguitar.com/songs/john-mayer-stop-this-train-1-2-chords-tabs-guitar-lesson-st-814,615258,17:56,John Mayer
4,John Mayer,XO,yes,False,https://justinguitar.com/songs/john-mayer-xo-chords-tabs-guitar-lesson-sg-018,44632,12:47,John Mayer
5,John Mayer,Last Train Home,yes,True,https://justinguitar.com/songs/john-mayer-last-train-home-chords-tabs-guitar-lesson-sg-075,76909,11:49,John Mayer
5,John Mayer,Gravity [SOLOS],yes,True,https://justinguitar.com/songs/john-mayer-gravity-solos-chords-tabs-guitar-lesson-st-806,293666,19:37,John Mayer
5,John Mayer,New Light,yes,True,https://justinguitar.com/songs/john-mayer-new-light-chords-tabs-guitar-lesson-sg-008,47939,17:08,John Mayer
6,John Mayer,Gravity [RHYTHM],yes,True,https://justinguitar.com/songs/john-mayer-gravity-rhythm-chords-tabs-guitar-lesson-st-805,284647,13:38,John Mayer
5,Neil Young,Cinnamon Girl,yes,True,https://justinguitar.com/songs/neil-young-cinnamon-girl-chords-tabs-guitar-lesson-st-876,33211,23:34,Neil Young
5,Neil Young,Out On The Weekend,yes,True,https://justinguitar.com/songs/neil-young-out-on-the-weekend-chords-tabs-guitar-lesson-st-916,100634,18:23,Neil Young
4,Neil Young,One Of These Days,yes,True,https://justinguitar.com/songs/neil-young-one-of-these-days-chords-tabs-guitar-lesson-st-765,26134,21:08,Neil Young
6,Neil Young,Harvest Moon,yes,True,https://justinguitar.com/songs/neil-young-harvest-moon-chords-tabs-guitar-lesson-st-903,1373018,12:55,Neil Young
4,Neil Young,Rockin' In The Free World,yes,True,https://justinguitar.com/songs/neil-young-rockin-in-the-free-world-chords-tabs-guitar-lesson-st-910,240252,10:16,Neil Young
5,Neil Young,Cowgirl In The Sand,yes,True,https://justinguitar.com/songs/neil-young-cowgirl-in-the-sand-chords-tabs-guitar-lesson-st-917,136997,23:50,Neil Young
5,Neil Young,Cortez The Killer [Drop D],yes,True,https://justinguitar.com/songs/neil-young-cortez-the-killer-drop-d-chords-tabs-guitar-lesson-st-914,127590,26:24,Neil Young
3,Neil Young,Razor Love,yes,False,https://justinguitar.com/songs/neil-young-razor-love-chords-tabs-guitar-lesson-st-906,62838,09:03,Neil Young
3,Neil Young,Harvest,yes,True,https://justinguitar.com/songs/neil-young-harvest-chords-tabs-guitar-lesson-st-902,552873,09:33,Neil Young
3,Neil Young,Heart Of Gold,yes,True,https://justinguitar.com/songs/neil-young-heart-of-gold-chords-tabs-guitar-lesson-st-909,1040275,11:51,Neil Young
5,Neil Young,Old Man,yes,True,https://justinguitar.com/songs/neil-young-old-man-chords-tabs-guitar-lesson-st-905,2159866,28:55,Neil Young
1,Neil Young,Helpless,yes,True,https://justinguitar.com/songs/neil-young-helpless-chords-tabs-guitar-lesson-st-911,151471,23:15,Neil Young
3,Neil Young,"Hey Hey, My My",yes,True,https://justinguitar.com/songs/neil-young-hey-hey-my-my-chords-tabs-guitar-lesson-st-907,1117282,11:29,Neil Young
3,Neil Young,Comes A Time,yes,True,https://justinguitar.com/songs/neil-young-comes-a-time-chords-tabs-guitar-lesson-st-915,110134,12:13,Neil Young
5,Neil Young,Don't Let It Bring You Down,yes,True,https://justinguitar.com/songs/neil-young-don-t-let-it-bring-you-down-chords-tabs-guitar-lesson-st-918,119098,20:17,Neil Young
4,Neil Young,Long May You Run,yes,True,https://justinguitar.com/songs/neil-young-long-may-you-run-chords-tabs-guitar-lesson-st-908,158478,10:56,Neil Young
4,Neil Young,Natural Beauty,yes,True,https://justinguitar.com/songs/neil-young-natural-beauty-chords-tabs-guitar-lesson-st-912,79141,21:37,Neil Young
2,Neil Young,Only Love Can Break Your Heart,yes,False,https://justinguitar.com/songs/neil-young-only-love-can-break-your-heart-chords-tabs-guitar-lesson-sg-081,45686,13:11,Neil Young
3,Neil Young,Unknown Legend,yes,True,https://justinguitar.com/songs/neil-young-unknown-legend-chords-tabs-guitar-lesson-st-913,101239,23:22,Neil Young
6,Neil Young,Bandit,yes,False,https://justinguitar.com/songs/neil-young-bandit-chords-tabs-guitar-lesson-sg-052,25593,30:53,Neil Young
2,Neil Young,Buffalo Springfield Again,yes,False,https://justinguitar.com/songs/neil-young-buffalo-springfield-again-chords-tabs-guitar-lesson-st-904,97476,17:15,Neil Young
2,Neil Young,Cortez The Killer [Easy],yes,False,https://justinguitar.com/songs/neil-young-cortez-the-killer-easy-chords-tabs-guitar-lesson-bs-291,76269,10:36,Neil Young
4,Neil Young,The Needle And The Damage Done,yes,True,https://justinguitar.com/songs/neil-young-the-needle-and-the-damage-done-chords-tabs-guitar-lesson-st-901,992633,07:17,Neil Young
5,Metallica,Seek and Destroy [1/3],yes,True,https://justinguitar.com/songs/metallica-seek-and-destroy-1-3-chords-tabs-guitar-lesson-st-302,678465,08:14,Metallica
3,Metallica,Nothing Else Matters [1/3],yes,True,https://justinguitar.com/songs/metallica-nothing-else-matters-1-3-chords-tabs-guitar-lesson-bs-821,1243481,10:01,Metallica
5,Metallica,Nothing Else Matters [3/3],yes,True,https://justinguitar.com/songs/metallica-nothing-else-matters-3-3-chords-tabs-guitar-lesson-bs-8213,363695,06:20,Metallica
3,Metallica,Fade to Black,yes,True,https://justinguitar.com/songs/metallica-fade-to-black-chords-tabs-guitar-lesson-sg-063,93187,29:51,Metallica
5,Metallica,Seek and Destroy [3/3],yes,True,https://justinguitar.com/songs/metallica-seek-and-destroy-3-3-chords-tabs-guitar-lesson-st-3023,143327,09:22,Metallica
4,Metallica,Enter Sandman,yes,True,https://justinguitar.com/songs/metallica-enter-sandman-chords-tabs-guitar-lesson-st-372,491005,24:19,Metallica
5,Metallica,Seek and Destroy [2/3],yes,True,https://justinguitar.com/songs/metallica-seek-and-destroy-2-3-chords-tabs-guitar-lesson-st-3022,186951,08:05,Metallica
4,Metallica,Nothing Else Matters [2/3],yes,True,https://justinguitar.com/songs/metallica-nothing-else-matters-2-3-chords-tabs-guitar-lesson-bs-8212,468271,09:39,Metallica
7,Dire Straits,Romeo and Juliet,yes,True,https://justinguitar.com/songs/dire-straits-romeo-and-juliet-chords-tabs-guitar-lesson-bs-923,1948346,14:28,Dire Straits
6,Dire Straits,Sultans of Swing [2/4],yes,False,https://justinguitar.com/songs/dire-straits-sultans-of-swing-2-4-chords-tabs-guitar-lesson-st-3222,2144511,09:34,Dire Straits
7,Dire Straits,Lady Writer [3/4],yes,False,https://justinguitar.com/songs/dire-straits-lady-writer-3-4-chords-tabs-guitar-lesson-st-3633,53314,18:05,Dire Straits
5,Dire Straits,Tunnel Of Love [RHYTHM],yes,True,https://justinguitar.com/songs/dire-straits-tunnel-of-love-rhythm-chords-tabs-guitar-lesson-sg-001,84331,34:24,Dire Straits
6,Dire Straits,Sultans of Swing [3/4],yes,False,https://justinguitar.com/songs/dire-straits-sultans-of-swing-3-4-chords-tabs-guitar-lesson-st-3223,966186,09:58,Dire Straits
6,Dire Straits,Tunnel Of Love [SOLO 1],yes,True,https://justinguitar.com/songs/dire-straits-tunnel-of-love-solo-1-chords-tabs-guitar-lesson-sg-002,21961,24:19,Dire Straits
6,Dire Straits,Sultans of Swing [4/4],yes,False,https://justinguitar.com/songs/dire-straits-sultans-of-swing-4-4-chords-tabs-guitar-lesson-st-3224,751117,09:38,Dire Straits
7,Dire Straits,Lady Writer [2/4],yes,True,https://justinguitar.com/songs/dire-straits-lady-writer-2-4-chords-tabs-guitar-lesson-st-3632,105035,20:44,Dire Straits
7,Dire Straits,Lady Writer [1/4],yes,True,https://justinguitar.com/songs/dire-straits-lady-writer-1-4-chords-tabs-guitar-lesson-st-363,156103,13:02,Dire Straits
6,Dire Straits,Brothers In Arms,yes,True,https://justinguitar.com/songs/dire-straits-brothers-in-arms-chords-tabs-guitar-lesson-st-342,838161,32:47,Dire Straits
6,Dire Straits,Tunnel Of Love [SOLO 2],yes,True,https://justinguitar.com/songs/dire-straits-tunnel-of-love-solo-2-chords-tabs-guitar-lesson-sg-003,50047,20:37,Dire Straits
7,Dire Straits,Lady Writer [4/4],yes,False,https://justinguitar.com/songs/dire-straits-lady-writer-4-4-chords-tabs-guitar-lesson-st-3634,64504,19:40,Dire Straits
1,Dire Straits,Walk Of Life,yes,True,https://justinguitar.com/songs/dire-straits-walk-of-life-chords-tabs-guitar-lesson-bs-104,1433522,10:17,Dire Straits
6,Dire Straits,Sultans of Swing [1/4],yes,True,https://justinguitar.com/songs/dire-straits-sultans-of-swing-1-4-chords-tabs-guitar-lesson-st-322,2804979,08:41,Dire Straits
6,Dire Straits,Tunnel Of Love [SOLO 3],yes,True,https://justinguitar.com/songs/dire-straits-tunnel-of-love-solo-3-chords-tabs-guitar-lesson-sg-004,22996,22:00,Dire Straits
4,The Cult,Wild Flower,yes,False,https://justinguitar.com/songs/the-cult-wild-flower-chords-tabs-guitar-lesson-st-397,82506,14:29,The Cult
6,The Smiths,This Charming Man,yes,True,https://justinguitar.com/songs/the-smiths-this-charming-man-chords-tabs-guitar-lesson-st-425,235414,25:23,The Smiths
2,Sam Smith,Stay With Me,yes,False,https://justinguitar.com/songs/sam-smith-stay-with-me-chords-tabs-guitar-lesson-bs-420,137870,13:37,Sam Smith
2,Sam Smith,I'm Not The Only One,yes,False,https://justinguitar.com/songs/sam-smith-i-m-not-the-only-one-chords-tabs-guitar-lesson-bs-623,752776,11:07,Sam Smith
3,Nirvana,Come As You Are,yes,True,https://justinguitar.com/songs/nirvana-come-as-you-are-chords-tabs-guitar-lesson-bs-723,297322,10:28,Nirvana
3,Nirvana,Where Did You Sleep Last Night,yes,False,https://justinguitar.com/songs/nirvana-where-did-you-sleep-last-night-chords-tabs-guitar-lesson-sb-109,517993,05:43,Nirvana
3,Nirvana,Polly,yes,True,https://justinguitar.com/songs/nirvana-polly-chords-tabs-guitar-lesson-bs-806,378044,11:20,Nirvana
3,Nirvana,All Apologies,yes,True,https://justinguitar.com/songs/nirvana-all-apologies-chords-tabs-guitar-lesson-sg-047,139332,12:46,Nirvana
4,Nirvana,The Man Who Sold the World,yes,True,https://justinguitar.com/songs/nirvana-the-man-who-sold-the-world-chords-tabs-guitar-lesson-sg-084,143891,15:18,Nirvana
2,Nirvana,Smells Like Teen Spirit,yes,True,https://justinguitar.com/songs/nirvana-smells-like-teen-spirit-chords-tabs-guitar-lesson-sb-331,371213,15:45,Nirvana
3,Nirvana,In Bloom,yes,True,https://justinguitar.com/songs/nirvana-in-bloom-chords-tabs-guitar-lesson-sb-307,352261,10:54,Nirvana
3,Nirvana,About a Girl,yes,True,https://justinguitar.com/songs/nirvana-about-a-girl-chords-tabs-guitar-lesson-sg-078,167331,11:36,Nirvana
2,Nirvana,Molly's Lips,yes,False,https://justinguitar.com/songs/nirvana-molly-s-lips-chords-tabs-guitar-lesson-sg-012,24119,06:31,Nirvana
1,Dua Lipa,Love Again,yes,False,https://justinguitar.com/songs/dua-lipa-love-again-chords-tabs-guitar-lesson-sg-057,43272,16:01,Dua Lipa
5,The Black Crowes,She Talks to Angels [2/3],yes,True,https://justinguitar.com/songs/the-black-crowes-she-talks-to-angels-2-3-chords-tabs-guitar-lesson-st-3202,217999,07:13,The Black Crowes
5,The Black Crowes,She Talks to Angels [3/3],yes,True,https://justinguitar.com/songs/the-black-crowes-she-talks-to-angels-3-3-chords-tabs-guitar-lesson-st-3203,340560,08:02,The Black Crowes
5,The Black Crowes,She Talks to Angels [1/3],yes,True,https://justinguitar.com/songs/the-black-crowes-she-talks-to-angels-1-3-chords-tabs-guitar-lesson-st-320,629371,07:22,The Black Crowes
6,Gotye,Somebody That I Used To Know [EXPLORER],yes,True,https://justinguitar.com/songs/gotye-somebody-that-i-used-to-know-explorer-chords-tabs-guitar-lesson-st-802,148550,19:48,Gotye
3,Gotye,Somebody That I Used To Know [Beginner],yes,True,https://justinguitar.com/songs/gotye-somebody-that-i-used-to-know-beginner-chords-tabs-guitar-lesson-st-801,80173,11:17,Gotye
2,Johnny Cash,Folsom Prison Blues,yes,True,https://justinguitar.com/songs/johnny-cash-folsom-prison-blues-chords-tabs-guitar-lesson-bs-502,1764401,12:39,Johnny Cash
2,Johnny Cash,Man In Black,yes,True,https://justinguitar.com/songs/johnny-cash-man-in-black-chords-tabs-guitar-lesson-sb-118,203009,05:05,Johnny Cash
1,Johnny Cash,A Boy Named Sue,yes,True,https://justinguitar.com/songs/johnny-cash-a-boy-named-sue-chords-tabs-guitar-lesson-sg-048,43559,13:32,Johnny Cash
2,Johnny Cash,Ring Of Fire,yes,True,https://justinguitar.com/songs/johnny-cash-ring-of-fire-chords-tabs-guitar-lesson-sg-054,63822,19:52,Johnny Cash
2,Johnny Cash,Hurt,yes,True,https://justinguitar.com/songs/johnny-cash-hurt-chords-tabs-guitar-lesson-bs-611,1308189,10:02,Johnny Cash
1,Johnny Cash,I Walk The Line,yes,True,https://justinguitar.com/songs/johnny-cash-i-walk-the-line-chords-tabs-guitar-lesson-bs-105,1905347,06:20,Johnny Cash
2,Alicia Keys,Fallin',yes,False,https://justinguitar.com/songs/alicia-keys-fallin-chords-tabs-guitar-lesson-sg-024,52299,11:53,Alicia Keys
1,Ben E. King,Stand By Me,yes,True,https://justinguitar.com/songs/ben-e-king-stand-by-me-chords-tabs-guitar-lesson-bs-323,453407,14:22,Ben E. King
3,The Verve,Lucky Man,yes,True,https://justinguitar.com/songs/the-verve-lucky-man-chords-tabs-guitar-lesson-bs-703,530060,08:44,The Verve
2,The Verve,The Drugs Don't Work,yes,False,https://justinguitar.com/songs/the-verve-the-drugs-don-t-work-chords-tabs-guitar-lesson-bs-609,279710,11:02,The Verve
6,Led Zeppelin,Stairway To Heaven [6/6],yes,True,https://justinguitar.com/songs/led-zeppelin-stairway-to-heaven-6-6-chords-tabs-guitar-lesson-st-3146,497820,09:44,Led Zeppelin
5,Led Zeppelin,Black Dog,yes,True,https://justinguitar.com/songs/led-zeppelin-black-dog-chords-tabs-guitar-lesson-rf-019,129554,11:05,Led Zeppelin
5,Led Zeppelin,Stairway To Heaven [5/6],yes,True,https://justinguitar.com/songs/led-zeppelin-stairway-to-heaven-5-6-chords-tabs-guitar-lesson-st-3145,609263,09:46,Led Zeppelin
5,Led Zeppelin,Gallows Pole,yes,False,https://justinguitar.com/songs/led-zeppelin-gallows-pole-chords-tabs-guitar-lesson-st-415,173942,19:36,Led Zeppelin
6,Led Zeppelin,Stairway To Heaven [1/6],yes,True,https://justinguitar.com/songs/led-zeppelin-stairway-to-heaven-1-6-chords-tabs-guitar-lesson-st-314,3324724,08:59,Led Zeppelin
5,Led Zeppelin,Stairway To Heaven [2/6],yes,True,https://justinguitar.com/songs/led-zeppelin-stairway-to-heaven-2-6-chords-tabs-guitar-lesson-st-3142,1242799,09:59,Led Zeppelin
4,Led Zeppelin,Rock and Roll,yes,True,https://justinguitar.com/songs/led-zeppelin-rock-and-roll-chords-tabs-guitar-lesson-st-374,235981,19:17,Led Zeppelin
6,Led Zeppelin,Stairway To Heaven [4/6],yes,True,https://justinguitar.com/songs/led-zeppelin-stairway-to-heaven-4-6-chords-tabs-guitar-lesson-st-3144,660660,09:13,Led Zeppelin
5,Led Zeppelin,Stairway To Heaven [3/6],yes,True,https://justinguitar.com/songs/led-zeppelin-stairway-to-heaven-3-6-chords-tabs-guitar-lesson-st-3143,819379,08:09,Led Zeppelin
8,Elliott Smith,Angeles,yes,True,https://justinguitar.com/songs/elliott-smith-angeles-chords-tabs-guitar-lesson-sg-045,49848,32:10,Elliott Smith
5,Elliott Smith,Say Yes,yes,True,https://justinguitar.com/songs/elliott-smith-say-yes-chords-tabs-guitar-lesson-sb-120,194810,14:05,Elliott Smith
5,Elliott Smith,Between The Bars,yes,False,https://justinguitar.com/songs/elliott-smith-between-the-bars-chords-tabs-guitar-lesson-sb-117,439702,14:53,Elliott Smith
3,The Hoodoo Gurus,Like Wow Wipeout,yes,False,https://justinguitar.com/songs/the-hoodoo-gurus-like-wow-wipeout-chords-tabs-guitar-lesson-sb-507,32860,12:35,The Hoodoo Gurus
3,KISS,Rock and Roll All Nite,yes,True,https://justinguitar.com/songs/kiss-rock-and-roll-all-nite-chords-tabs-guitar-lesson-sb-309,242900,16:27,KISS
1,Bob Seger,Old Time Rock And Roll,yes,False,https://justinguitar.com/songs/bob-seger-old-time-rock-and-roll-chords-tabs-guitar-lesson-bs-125,299007,15:03,Bob Seger
3,The White Stripes,Seven Nation Army,yes,True,https://justinguitar.com/songs/the-white-stripes-seven-nation-army-chords-tabs-guitar-lesson-bs-824,362245,08:16,The White Stripes
3,Blur,Song 2,yes,True,https://justinguitar.com/songs/blur-song-2-chords-tabs-guitar-lesson-sb-326,338127,07:07,Blur
6,Blur,Coffee & TV,yes,True,https://justinguitar.com/songs/blur-coffee-tv-chords-tabs-guitar-lesson-st-614,280430,09:53,Blur
5,Incubus,Drive,yes,True,https://justinguitar.com/songs/incubus-drive-chords-tabs-guitar-lesson-st-416,213074,11:32,Incubus
1,Tom Waits,Hold On,yes,True,https://justinguitar.com/songs/tom-waits-hold-on-chords-tabs-guitar-lesson-sb-104,222872,10:49,Tom Waits
1,Tom Waits,Downtown Train,yes,True,https://justinguitar.com/songs/tom-waits-downtown-train-chords-tabs-guitar-lesson-bs-321,140748,17:44,Tom Waits
3,Tom Waits,The Heart Of Saturday Night,yes,True,https://justinguitar.com/songs/tom-waits-the-heart-of-saturday-night-chords-tabs-guitar-lesson-sb-107,241619,17:32,Tom Waits
3,Tom Waits,I Hope That I Don't Fall In Love With You,yes,False,https://justinguitar.com/songs/tom-waits-i-hope-that-i-don-t-fall-in-love-with-you-chords-tabs-guitar-lesson-bs-927,162593,18:55,Tom Waits
1,Tom Waits,Chocolate Jesus,yes,False,https://justinguitar.com/songs/tom-waits-chocolate-jesus-chords-tabs-guitar-lesson-bs-222,144623,13:23,Tom Waits
5,Free,All Right Now,yes,True,https://justinguitar.com/songs/free-all-right-now-chords-tabs-guitar-lesson-sb-316,886801,10:50,Free
1,Hank Williams,Jambalaya,yes,False,https://justinguitar.com/songs/hank-williams-jambalaya-chords-tabs-guitar-lesson-sg-041,26959,09:31,Hank Williams
1,Rod Stewart,Sailing,yes,False,https://justinguitar.com/songs/rod-stewart-sailing-chords-tabs-guitar-lesson-bs-692,144235,16:42,Rod Stewart
3,The Screaming Jets,Better,yes,False,https://justinguitar.com/songs/the-screaming-jets-better-chords-tabs-guitar-lesson-sb-511,38338,10:02,The Screaming Jets
2,Lorde,Royals,yes,False,https://justinguitar.com/songs/lorde-royals-chords-tabs-guitar-lesson-bs-694,52460,10:40,Lorde
5,Paul Weller,You Do Something To Me,yes,True,https://justinguitar.com/songs/paul-weller-you-do-something-to-me-chords-tabs-guitar-lesson-sb-323,222608,10:00,Paul Weller
2,Paul Weller,Wild Wood,yes,False,https://justinguitar.com/songs/paul-weller-wild-wood-chords-tabs-guitar-lesson-sb-102,300157,08:48,Paul Weller
1,David Gray,This Year's Love,yes,False,https://justinguitar.com/songs/david-gray-this-year-s-love-chords-tabs-guitar-lesson-bs-309,324793,13:05,David Gray
2,David Gray,Please Forgive Me,yes,False,https://justinguitar.com/songs/david-gray-please-forgive-me-chords-tabs-guitar-lesson-bs-601,157568,08:36,David Gray
3,Bon Jovi,Wanted Dead or Alive,yes,True,https://justinguitar.com/songs/bon-jovi-wanted-dead-or-alive-chords-tabs-guitar-lesson-bs-702,2397368,14:28,Bon Jovi
4,Booker T. & the M.G.s,Green Onions,yes,True,https://justinguitar.com/songs/booker-t-the-m-g-s-green-onions-chords-tabs-guitar-lesson-sb-427,426622,12:01,Booker T. & the M.G.s
3,Plain White T's,Hey There Delilah,yes,True,https://justinguitar.com/songs/plain-white-t-s-hey-there-delilah-chords-tabs-guitar-lesson-bs-820,810002,15:59,Plain White T's
5,Bryan Adams & Mel C,When You're Gone,yes,False,https://justinguitar.com/songs/bryan-adams-mel-c-when-you-re-gone-chords-tabs-guitar-lesson-sb-206,164450,14:25,Bryan Adams & Mel C
1,Lee Hazlewood,Me And Charlie,yes,False,https://justinguitar.com/songs/lee-hazlewood-me-and-charlie-chords-tabs-guitar-lesson-bs-123,39523,10:23,Lee Hazlewood
2,The Traveling Wilburys,Handle With Care,yes,False,https://justinguitar.com/songs/the-traveling-wilburys-handle-with-care-chords-tabs-guitar-lesson-st-410,153221,18:58,The Traveling Wilburys
3,The Mamas & The Papas,California Dreamin',yes,True,https://justinguitar.com/songs/the-mamas-the-papas-california-dreamin-chords-tabs-guitar-lesson-bs-704,1747304,15:11,The Mamas & The Papas
3,R.E.M.,Everybody Hurts,yes,True,https://justinguitar.com/songs/r-e-m-everybody-hurts-chords-tabs-guitar-lesson-bs-920,608136,20:31,R.E.M.
3,Gnarles Barkley,Crazy,yes,False,https://justinguitar.com/songs/gnarles-barkley-crazy-chords-tabs-guitar-lesson-sb-203,299567,13:35,Gnarles Barkley
5,Gary Moore,Parisienne Walkways [1/2],yes,True,https://justinguitar.com/songs/gary-moore-parisienne-walkways-1-2-chords-tabs-guitar-lesson-st-327,462192,14:33,Gary Moore
